NOM LIEN;NOM;Sexe;Profession;Anniversaire;Âge;Nationalité;Zodiaque;Lieu de naissance;Centimètre;Kilogramme;Couleur des yeux;Couleur des cheveux;Décès;Particularité 1;Particularité 2;Particularité 3
cameron-diaz;Cameron Diaz;F;Actrice, productrice;30/08/1972;51;Américaine;Vierge;États-Unis;176;57;Bleu;Blonds;–;joue Tina Carlyle - The Mask;mariée à Benji Madden; prête également sa voix à la princesse Fiona dans Shrek
nicole-kidman;Nicole Kidman;F;Actrice;20/06/1967;56;Australienne/Américaine;Gémeaux;États-Unis;180;57;Bleu;Roux;–;joue Suzanne Stone Maretto -  Prête à tout;joue Atlanna -  Aquaman;joue Millicent - Paddington
kaley-cuoco;Kaley Cuoco;F;Actrice;30/11/1985;38;Américaine;Sagittaire;États-Unis;169;57;Verts;Blonds;–;joue Penny - The Big Bang Theory; incarne le rôle principal de la série The Flight Attendant;joue Maggie - The Man from Toronto
jennifer-lopez;Jennifer Lopez;F;Actrice, chanteuse, danseuse, productrice, fashion designer;24/07/1969;54;Américaine;Lion;États-Unis;164;58;Brun clair;Châtain;–;publie en 1999 son premier album studio, On the 6;considérée comme la plus influente et la mieux payée des artistes latino - américaines;joue Sharon Pogue - Angel Eyes
demi-lovato;Demi Lovato;F;Chanteur/euse, Auteur-compositeur;20/08/1992;31;Américaine;Lion;États-Unis;160;58;Brun foncé;Brun;–;rôle principal du téléfilm de Disney Channel Camp Rock;fait partie des jurés de l'émission The X Factor entre 2012 et 2013;sort son premier album Don't Forget en 2008
britney-spears;Britney Spears;F;Chanteur/euse;02/12/1981;42;Américaine;Sagittaire;États-Unis;163;58;Brun clair;Brun;–;signe avec Jive Records en 1997 à l’âge de 15 ans;se fait connaître mondialement en 1998 grâce à son titre ...Baby One More Time;sort son deuxieme album Oops!... I Did It Again en 2000
kendall-jenner;Kendall Jenner;F;Personnalité TV;03/11/1995;28;Américaine;Scorpion;États-Unis;177;59;Brun foncé;Brun foncé;–;ambassadrice de Calvin Klein, Adidas, La Perla et Estée Lauder;a commencé une carrière dans le mannequinat à quatorze ans;joue Aj - Hawaii 5 - 0
gigi-hadid;Gigi Hadid;F;Mannequin;23/04/1995;28;Américaine;Taureau;États-Unis;178;59;Verts, bleu;Blonds;–;pose pour Baby Guess à l'âge de 2 ans;défile pour plusieurs grandes marques de luxe dont Versace, Chanel, Elie Saab, Fendi, Marc Jacobs, Anna Sui …;ambassadrice de la marque Tommy Hilfiger en 2016
julia-roberts;Julia Roberts;F;Actrice, Producteur;28/10/1967;56;Américaine;Scorpion;États-Unis;175;59;Brun clair;Blond foncé;–;révélée par la comédie romantique Pretty Woman;reçoit l'Oscar de la meilleure actrice pour son rôle dans le film Erin Brockovich, seule contre tous;joue Tess Ocean -  Ocean's Eleven
meghan-markle;Meghan Markle;F;Actrice;04/08/1981;42;Américaine;Lion;États-Unis;169;60;Brun foncé;Brun foncé;–;joue Rachel Zane - Suits : Avocats sur mesure.;épouse le prince Harry le 19 mai 2018;joue Jamie - Comment tuer son boss ?
karlie-kloss;Karlie Kloss;F;Mannequin;03/08/1992;31;Américaine;Lion;États-Unis;186;60;Verts;Châtain;–;classée dans le top 30 des Mannequins des années 2000 par le magazine Vogue Paris;préside la société Bradford Media;Ève du jardin d'Eden  -  Zoolander 2
beyonce;Beyonce;F;Chanteuse, autrice-compositrice;04/09/1981;42;Américaine;Vierge;États-Unis;168;61;Brun foncé;Brun foncé;–;deuxième artiste la plus récompensée au monde juste après Michael Jackson;épouse de Jay - Z;sortson album Dangerously in Love en 2003
priyanka-chopra;Priyanka Chopra;F;Chanteuse, autrice-compositrice;18/07/1982;41;Indienne;Cancer;Inde;169;61;Brun foncé;Brun foncé;–;une des artistes les plus reconnues d'Inde;le gouvernement indien lui décerne le Padma Shri en 2016;fondatrice de la société de production Purple Pebble Pictures
michael-jackson;Michael Jackson;M;Chanteur/euse, Acteur, Danseur/euse, Producteur de disques;29/08/1958;50;Américaine;Vierge;États-Unis;175;61;Noir;Noirs;25/06/2009;"surnommé le ""Roi de la Pop""";cinq de ses albums solo sont parmi les albums les plus vendus au monde;a popularisé le moonwalk
jennifer-lawrence;Jennifer Lawrence;F;Actrice;15/08/1990;33;Américaine;Lion;États-Unis;174;62;Bleu;Blonds;–;joue Katniss Everdeen  -  The Hunger Games;joue Mystique - X-Men;lance sa propre société de production nommée Excellent Cadaver en 2018
katy-perry;Katy Perry;F;Chanteur/euse, Auteur-compositeur;25/10/1984;39;Américaine;Scorpion;États-Unis;174;62;Bleu;Blonds;–;devient célèbre en 2008 avec la sortie de son deuxième album,  One of the Boys;a remporté quatre Guinness World Records, cinq American Music Awards, un Brit Award et un prix Juno;interprète des chansons Roar et Dark Horse
dua-lipa;Dua Lipa;F;Chanteur/euse, Mannequin, Auteur-compositeur;22/08/1995;28;Britannique/Albanaise;Lion;Angleterre;173;62;Brun clair;Brun foncé;–;interprète du single One Kiss avec Calvin Harris en2018;Ambassadrice honorifique de la république du Kosovo, elle soutient la cause des Albanais du Kosovo;Autrice du titre Levitating
kylie-jenner;Kylie Jenner;F;Personnalité TV;10/08/1997;26;Américaine;Lion;États-Unis;169;63;Brun foncé;Noirs;–;demi-sœur de Kim Kardashian;devient en mars 2019, à l'âge de 21 ans, la plus jeune milliardaire de l'histoire;en couple avec l'acteur franco-américain Timothée Chalamet depuis avril 2023
nicki-minaj;Nicki Minaj;F;Chanteuse, autrice-compositrice;08/12/1982;41;Trinidadienne/Américaine;Sagittaire;Trinité-et-Tobago;157;63;Brun foncé;Noirs;–;De 2007 à 2009, sort une série de trois mixtapes : Playtime Is Over, Sucka Free et Beam Me Up Scotty, écoulée à 1 million d’exemplaires;joue Lydia - Triple Alliance;en couple avec le rappeur Meek Mill de 2015 à 2018
